Periodo;Siniestros_Pronosticados;IC_inferior_90;IC_superior_90
2025-01;14325497,624682577;-6047565385,742478;6076216380,991843
2025-02;13793496,028488887;-8401337640,785793;8428924632,842772
2025-03;13281251,21183387;-10105957266,607351;10132519769,03102
2025-04;12788029,47327653;-11462455399,914831;11488031458,861383
2025-05;12313124,358620465;-12590421880,588028;12615048129,305267
2025-06;11855855,649041334;-13552720617,666046;13576432328,96413
2025-07;11415568,38679192;-14387607974,7955;14410439111,569082
2025-08;10991631,937089281;-15120601084,895082;15142584348,769262
2025-09;10583439,08484031;-15769827835,734814;15790994713,904495
2025-10;10190405,164911928;-16348772710,58879;16369153520,918613
2025-11;9811967,224700151;-16867822680,479261;16887446614,928663
2025-12;9447583,217798589;-17335200391,17169;17354095557,607292
